Year,GDP (Dollars),Population,GDP per capita
1960,1939329775,2811067,689.89
1961,2088012282,2807005,743.86
1962,2260349684,2813067,803.52
1963,2430843768,2824089,860.75
1964,2766608946,2837436,975.04
1965,2945704143,2852401,1032.71
1966,3104034393,2867003,1082.68
1967,3343636773,2882745,1159.88
1968,3278584478,2899643,1130.69
1969,3787077344,2917184,1298.20
1970,4395995086,2937637,1496.44
1971,5098250287,2969397,1716.93
1972,6318060582,3013998,2096.24
1973,7481173066,3062023,2443.21
1974,7896860615,3110099,2539.10
1975,9483808362,3157919,3003.18
1976,9453756015,3205753,2949.00
1977,11248340431,3254662,3456.07
1978,14647996074,3305571,4431.31
1979,18319334300,3351898,5465.36
1980,21747855640,3391387,6412.67
1981,20670190138,3424827,6035.40
1982,21474752962,3451212,6222.38
1983,20766047764,3472903,5979.45
1984,20106648455,3490931,5759.68
1985,21270013326,3505769,6067.15
1986,28714571852,3515669,8167.60
1987,33920518493,3513700,9653.79
1988,37772896221,3498030,10798.33
1989,39238392678,3483314,11264.67
1990,49305632408,3485374,14146.44
1991,49787501584,3504805,14205.50
1992,55918538121,3528367,15848.28
1993,52417477614,3545700,14783.39
1994,57097656066,3559398,16041.38
1995,69139823232,3579482,19315.59
1996,75790786290,3606728,21013.72
1997,82856648758,3640150,22761.88
1998,90199410116,3678667,24519.59
1999,98893958263,3719912,26585.03
2000,1.00208E+11,3768950,26587.67
2001,1.09347E+11,3829018,28557.37
2002,1.28596E+11,3894258,33021.96
2003,1.64671E+11,3958705,41597.13
2004,1.94372E+11,4031954,48207.92
2005,2.11877E+11,4121216,51411.28
2006,2.32181E+11,4234806,54826.74
2007,2.70079E+11,4359834,61947.15
2008,2.75447E+11,4452392,61865.05
2009,2.36443E+11,4499792,52545.34
2010,2.21914E+11,4524585,49046.17
2011,2.39003E+11,4544501,52591.72
2012,2.25629E+11,4564550,49430.66
2013,2.38341E+11,4588832,51939.33
2014,2.59171E+11,4622167,56071.30
2015,2.91775E+11,4665760,62535.40
2016,2.99091E+11,4715788,63423.36
2017,3.36378E+11,4771854,70491.99
2018,3.85737E+11,4834507,79788.21
2019,3.99322E+11,4896019,81560.49
2020,4.25852E+11,4946119,86098.27
2021,5.04183E+11,4986526,101108.99
2022,5.29245E+11,5023109,105362.01
